"Country","OECD_Code","WB_Code","WB_Name"
"Qatar","MEN","QAT","Qatar"
"Saudi Arabia","MEN","SAU","Saudi Arabia"
"State of Palestine","MEN","PSE","West Bank and Gaza"
"Syria","MEN","SYR","Syrian Arab Republic"
"Tunisia","MEN","TUN","Tunisia"
"United Arab Emirates","MEN","ARE","United Arab Emirates"
"Yemen","MEN","YEM","Yemen, Rep."
"China","ODA","CHN","China"
"India","ODA","IND","India"
"Indonesia","ODA","IDN","Indonesia"
"Malaysia","ODA","MYS","Malaysia"
"Philippines","ODA","PHL","Philippines"
"Thailand","ODA","THA","Thailand"
"Viet Nam","ODA","VNM","Vietnam"
"Singapore","ODA","SGP","Singapore"
"Brazil","LAM","BRA","Brazil"
"Argentina","LAM","ARG","Argentina"
"Peru","LAM","PER","Peru"
"South Africa","OAF","ZAF","South Africa"
"Bangladesh","ODA","BGD","Bangladesh"
"Paraguay","LAM","PRY","Paraguay"
"Sri Lanka","ODA","LKA","Sri Lanka"
"Madagascar","OAF","MDG","Madagascar"
"Malawi","OAF","MWI","Malawi"
"Ecuador","LAM","ECU","Ecuador"
"Guyana","LAM","GUY","Guyana"
"Jamaica","LAM","JAM","Jamaica"
"China, Macao SAR","ODA","MAC","Macao SAR, China"
"Trinidad and Tobago","LAM","TTO","Trinidad and Tobago"
"Bolivia (Plurinational State of)","LAM","BOL","Bolivia"
"Belize","LAM","BLZ","Belize"
"Brunei Darussalam","ODA","BRN","Brunei Darussalam"
"Myanmar","ODA","MMR","Myanmar"
"China, Hong Kong SAR","ODA","HKG","Hong Kong SAR, China"
"Vanuatu","ODA","VUT","Vanuatu"
"Nepal","ODA","NPL","Nepal"
"French Polynesia","ODA","PYF","French Polynesia"
"Mongolia","ODA","MNG","Mongolia"
"Kiribati","ODA","KIR","Kiribati"
"Other Asia, nes","ODA",NA,NA
"Papua New Guinea","ODA","PNG","Papua New Guinea"
"New Caledonia","ODA","NCL","New Caledonia"
"Cambodia","ODA","KHM","Cambodia"
"Fiji","ODA","FJI","Fiji"
"Wallis and Futuna Isds","ODA",NA,NA
"Samoa","ODA","WSM","Samoa"
"Cook Isds","ODA",NA,NA
"Solomon Isds","ODA","SLB","Solomon Islands"
"Maldives","ODA","MDV","Maldives"
"FS Micronesia","ODA","FSM","Micronesia, Fed. Sts."
"Pakistan","ODA","PAK","Pakistan"
"Timor-Leste","ODA","TLS","Timor-Leste"
"Bhutan","ODA","BTN","Bhutan"
"Palau","ODA","PLW","Palau"
"Tonga","ODA","TON","Tonga"
"Lao People's Dem. Rep.","ODA","LAO","Lao PDR"
"Afghanistan","ODA","AFG","Afghanistan"
"Kenya","OAF","KEN","Kenya"
"Southern African Customs Union (...1999)","OAF","ZAF","South Africa"
"Burundi","OAF","BDI","Burundi"
"Congo","OAF","COG","Congo, Rep."
"Gabon","OAF","GAB","Gabon"
"Mauritius","OAF","MUS","Mauritius"
"Seychelles","OAF","SYC","Seychelles"
"Togo","OAF","TGO","Togo"
"Uganda","OAF","UGA","Uganda"
"Cameroon","OAF","CMR","Cameroon"
"Ethiopia","OAF","ETH","Ethiopia"
"Gambia","OAF","GMB","Gambia, The"
"Guinea","OAF","GIN","Guinea"
"Côte d'Ivoire","OAF","CIV","Cote d'Ivoire"
"Niger","OAF","NER","Niger"
"Zimbabwe","OAF","ZWE","Zimbabwe"
"Sudan (...2011)","OAF","SDN","Sudan"
"United Rep. of Tanzania","OAF","TZA","Tanzania"
"Burkina Faso","OAF","BFA","Burkina Faso"
"Zambia","OAF","ZMB","Zambia"
"Central African Rep.","OAF","CAF","Central African Republic"
"Comoros","OAF","COM","Comoros"
"Ghana","OAF","GHA","Ghana"
"Mali","OAF","MLI","Mali"
"Nigeria","OAF","NGA","Nigeria"
"Senegal","OAF","SEN","Senegal"
"Cabo Verde","OAF","CPV","Cabo Verde"
"Mozambique","OAF","MOZ","Mozambique"
"Benin","OAF","BEN","Benin"
"Rwanda","OAF","RWA","Rwanda"
"Botswana","OAF","BWA","Botswana"
"Mayotte (Overseas France)","OAF","FRA","France"
"Lesotho","OAF","LSO","Lesotho"
"Mauritania","OAF","MRT","Mauritania"
"Namibia","OAF","NAM","Namibia"
"Sierra Leone","OAF","SLE","Sierra Leone"
"Eswatini","OAF","SWZ","Eswatini"
"Sao Tome and Principe","OAF","STP","Sao Tome and Principe"
"Eritrea","OAF","ERI","Eritrea"
"Angola","OAF","AGO","Angola"
"Guinea-Bissau","OAF","GNB","Guinea-Bissau"
"Djibouti","OAF","DJI","Djibouti"
"Sudan","OAF","SDN","Sudan"
"Dem. Rep. of the Congo","OAF","COD","Congo, Dem. Rep."
"Liberia","OAF","LBR","Liberia"
"Saint Lucia","LAM","LCA","St. Lucia"
"Guatemala","LAM","GTM","Guatemala"
"Nicaragua","LAM","NIC","Nicaragua"
"Saint Kitts and Nevis","LAM","KNA","St. Kitts and Nevis"
"Dominica","LAM","DMA","Dominica"
"El Salvador","LAM","SLV","El Salvador"
"Greenland","LAM","GRL","Greenland"
"Guadeloupe (Overseas France)","LAM","FRA","France"
"Honduras","LAM","HND","Honduras"
"Uruguay","LAM","URY","Uruguay"
"Venezuela","LAM","VEN","Venezuela, RB"
"Grenada","LAM","GRD","Grenada"
"Martinique (Overseas France)","LAM","FRA","France"
"Panama","LAM","PAN","Panama"
"Dominican Rep.","LAM","DOM","Dominican Republic"
"Suriname","LAM","SUR","Suriname"
"Bahamas","LAM","BHS","Bahamas, The"
"Barbados","LAM","BRB","Barbados"
"Saint Vincent and the Grenadines","LAM","VCT","St. Vincent and the Grenadines"
"Antigua and Barbuda","LAM","ATG","Antigua and Barbuda"
"Cuba","LAM","CUB","Cuba"
"Bermuda","LAM","BMU","Bermuda"
"Netherlands Antilles (...2010)","LAM",NA,NA
"Aruba","LAM","ABW","Aruba"
"Turks and Caicos Isds","LAM","TCA","Turks and Caicos Islands"
"Montserrat","LAM",NA,NA
"Curaçao","LAM","CUW","Curacao"
"Cayman Isds","LAM","CYM","Cayman Islands"
